,year,month,rainy_days,total_rainfall,max_daily_rainfall,mean_rh,min_daily_temp,max_daily_temp,mean_sunshine_hrs,extr_max_temp,extr_min_temp
203,1998,12,22,463.4,84.4,88.5,24.2,30.4,3.1,32.6,22.8
204,1999,1,19,193.9,52.5,88.3,24.3,30.4,3.9,32.8,22.6
205,1999,2,9,67.4,32.1,82.4,24.5,31.3,6.7,33.0,22.0
206,1999,3,16,181.4,52.4,87.5,24.4,31.5,4.3,33.0,22.0
207,1999,4,14,88.5,29.2,82.6,25.4,32.5,5.8,34.4,23.0
208,1999,5,13,157.1,42.8,84.4,25.3,31.7,5.7,34.2,23.7
209,1999,6,13,103.4,34.5,81.9,25.3,31.8,6.0,33.7,21.8
210,1999,7,11,225.4,51.4,82.7,24.7,31.2,6.8,32.9,21.6
211,1999,8,13,204.0,42.4,84.1,24.5,31.0,5.7,32.9,21.9
212,1999,9,13,125.9,41.5,81.7,24.9,31.9,6.5,33.9,22.1
213,1999,10,20,205.0,32.8,84.6,24.3,31.1,4.7,32.5,22.4
214,1999,11,19,241.5,39.0,84.4,24.5,31.3,4.7,33.4,22.9
215,1999,12,17,340.5,76.9,85.3,24.1,30.6,4.1,33.0,22.4
216,2000,1,14,275.2,127.6,86.9,23.9,29.8,4.0,31.8,22.8
217,2000,2,18,237.8,39.9,86.5,23.8,31.0,5.8,32.4,21.7
218,2000,3,15,238.3,37.9,85.8,24.3,31.9,5.8,34.0,20.2
219,2000,4,20,311.6,87.4,85.6,24.6,31.9,5.3,33.4,22.6
220,2000,5,10,96.8,36.7,82.4,25.7,32.7,6.8,34.2,22.6
221,2000,6,16,157.5,41.7,84.3,24.7,31.1,4.6,33.3,22.5
222,2000,7,12,116.1,34.6,82.6,25.3,31.6,6.5,33.1,22.1
223,2000,8,18,113.5,28.1,83.8,24.8,30.7,5.1,33.3,22.2
224,2000,9,12,81.1,25.7,82.2,25.2,32.1,6.2,34.3,23.5
225,2000,10,14,120.9,38.3,82.1,24.9,31.8,4.0,34.1,22.9
226,2000,11,21,385.7,72.0,87.1,24.7,31.3,3.7,34.2,22.9
227,2000,12,18,236.0,45.8,87.6,24.4,31.0,4.2,32.6,23.0
